Field1,Time,Content,Rating
"Ellen of Philadelphia, PA","Original review: July 30, 2016","Placed an order in the Philadelphia store. When order was delivered items were missing and the assembly person did not out all items together. This is an extra service that I paid for. Good luck calling customer service or email. The wait time is close to an hour, then they tell you they will call back and they never do... plus... my credit card was charged the entire amount. Do not use this store. Pay the extra money and shop elsewhere. They will take your money and not provide the materials that you paid for.",1.0
"Leticia of Jersey City, NJ","Original review: July 27, 2016","I shop in ikea.com and was suppose to receive my delivery today. It did not happen. Talking to its customer service is a nightmare. After more than 1 hour over the phone, they dropped the call. I could manage to send Ikea an e-mail after several attempts because the website was not working properly and believe it or not, Ikea will respond in 3-5 days. Very, very, very bad service. I just learned that if I decide to cancel the service that by the way I did not receive it as promised, the shipping fees will not be reimbursed! So no delivery and I should pay for the shipping fees! I will never buy at Ikea again. Never!",1.0
"Meghan of New York, NY","Original review: July 26, 2016","I had scheduled the delivery of a couch for a Tuesday from 9 am-1 pm. When the couch did not arrive I called the customer service line. I waited on hold for 45 minutes to be told that my delivery had been canceled due to a power outage. I then asked to speak to someone about the fact that I had received 2 confirmation calls as recently as the afternoon prior, but no call to tell me there was going to be an issue with the delivery. While on hold to speak with another agent, the delivery company called (now 1:55) to tell me my furniture would not be delivered. I eventually got through to a 2nd agent who told me that they would not be able to make any accommodations for me because I ""had been notified by the delivery company"" of the change in delivery. When I tried to argue that it was an hour after the delivery window and I had already wasted 4 hours the agent was rude and not at all helpful. Needless to say I will not be ordering through IKEA again.",1.0
"Patricia of Antwerpen(Hoboken), Other","Original review: July 25, 2016","The pavilion cover of our APPLARO party tent is damaged by a cat. This can happen, so I contacted Ikea Belgium for a new cover. But I got an email that this is not possible and that ""Ikea Belgium hopes to be of service."" So two small sentences and that's it. And after searching the internet, other vendors of similar party tents do this without any problem. So no, I do not think that Ikea Belgium has been of service. ",1.0
"Gail of Poolesville, MD","Original review: July 23, 2016","Order ** from IKEA has been scheduled for delivery. ""Your order will be delivered on Saturday, September 20, 2014 between 3PM and 7PM."" I purchased a HURDAL bed from the College Park store in September 2014. I had it assembled by one of the companies recommended by IKEA. It is now coming apart. Please look at the attached photos. I contacted them via their website because I could not get through to their bed department after many attempts. I did not go there because they are an hour and 1/2 drive from my home. They took 17 days to respond that there was nothing they would do about it. I am throwing it out and never shopping there again.",1.0
"Angela of Concord, CA","Original review: July 21, 2016","My husband and I went to IKEA in San Leandro two days ago (my first time there). We bought the bathroom cabinet we wanted for $270. We waited at the warehouse section for our order, then brought our flat boxes home. When we went to set it up today we saw they gave us the wrong stuff! I called, spoke to someone who put me on hold to see what she could do. Half an hour later, someone else picked up the phone and, admitting it was completely their mistake, informed me that we would still have to break down what we put together and drive the additional 2 hours to exchange it. She said that because we didn't have it delivered, they wouldn't send a delivery truck to correct their mistake.",1.0
"Cindy of Chicago, IL","Original review: July 20, 2016","There is no service, period, from Ikea either online or via phone call. I recently purchased a mattress from Ikea, it was too firm. I wanted to see what my options were with respect to return / exchange. I called the customer service number first, after waiting for a long time, the phone was disconnected. I then went online to see if I can write an email and get my question answered, the Ikea website redirects you back to the same place. Basically they creates an impression that they do not want to get in touch with customers in any way, shape or form, they would much prefer that you do everything yourself, and they just collect money. I am extremely dissatisfied with their ""services"".",1.0
"Cory of Murrells Inlet, SC","Original review: July 18, 2016","I recently purchased the Malm Furniture bedroom complete set (dresser, chest, queen bed, underbed storage for both sides, 2 night stands) from Ikea. My wife and I don't live near an Ikea so we had to make a special trip to get it. We purchased on 6/12/16, after just a week of having the furniture the recall went out about the affected pieces. Ikea claims they will come out and take away the affected pieces, but what they don't tell you is that not the entire bedroom set is included. They are willing to come get the dresser and chest, but won't touch the other pieces. These pieces are still under the policy for a return with receipt, but they won't come get any of those pieces without us paying a fee.",1.0
"Ehab of San Jose, CA","Original review: July 15, 2016",I sent 3 emails as a general question first one around 10 days ago asking for something and nobody replied to me! After one day I sent the same Q and then after another day I sent a complaint that I haven't received a response! I don't know what is going on with you guys. This is really disappointing! I will never ever buy from you again.,1.0
"brad of Laguna Beach, CA","Original review: July 15, 2016","Ikea online and phone customer service - Southern California area. I placed and paid for an order to be delivered to my home. I have written (as instructed by Ikea) FOUR emails with questions about my order and have NEVER received any return response. My emails were sent over a week time period -plenty of time for the 24-48 hour period response time from Ikea. Additionally, I called Ikea customer service two times and both times received poor service. The representatives in both cases were impatient and rude concerning my questions and concerns. It is very rare that I come across such poor service when dealing with customer service representatives on the phone at other companies.",1.0
"Bailey of Lincoln, NE","Original review: July 14, 2016","Growing up, I would always hear about Ikea and them being one of the biggest and well-known furniture stores, but my experiences in the past few weeks have drastically changed that opinion. While looking on their website I found a particular tabletop/desk that would work well for me. This was one of the Linnmon series tabletops with Adils legs. After purchasing this product online, the shipping said it would arrive around July 5th. This was their ""estimated delivery date."" This was sort of a long shipping time, but with the 4th of July weekend it was very understandable and I was ok with it. ",1.0
"Loree of Mentone, AL","Original review: July 13, 2016","Ordered 2 slip covers for chairs. 1st purchase ever. The run around to return. Long waits on phone calls to Ikea. Needed to call back with tracking no. Waited again for 15 min. get switchboard. Ikea closed for due to high call volumes and emails. They told me call back on morning. I said 1st purchase I am cured. Never heard of a place closing early because of too many calls! Let alone the ridiculousness of trying to return something. Cost me over 11 to return and as much to ship for items not totaling 80.00. Totally unprofessional, unsatisfactory company. Hoping I will see my money again, upon return of items.",1.0
"Irina of Woodbridge, ON","Original review: July 10, 2016",I want to express a huge dissatisfaction with IKEA Customer Service in Toronto Etobicoke 256. I bought several packages in May. When in the beginning of July we were about to install the cabinets we bought we realized that one package is missing. It was a small box with legs. I went to IKEA where I was met by a customer service man on the floor who told me that it was very small money and I should buy another package what was unprofessional because he didn't know my situation and couldn't comment on the amount I could afford to throw out.,1.0
"Kathleen of Carlsbad, CA","Original review: July 9, 2016","I was shocked and sad regarding the poor quality service from IKEA. We have purchased items from them many times from their store. This time, we ordered two storage units online. Both arrived damaged. The boxes had holes that were re-taped. One box had footprints on it. We decided to return both for a full refund (including shipping). It took two days and a 45 minute wait on hold, to finally reach a customer service rep to coordinate the return. When I didn't see a refund on my credit card a week after the items were picked up, I called them. ",1.0
"Danuta of Reston, VA","Original review: July 9, 2016","While shopping in Germany I was told to speak German! It is easier in US because of the language. But the online shopping is a nightmare. First it turned out impossible to buy the item I found. Simply no button to click and no explanation why. Second, after I signed as a IKEA Family member and created account it turned out I need another account to check out. So I have two different accounts with the same store. Ridiculous. Third I was trying to contact IKEA by e-mail. Impossible! This experience cost me a lot of frustration.",1.0
"Carol of Piedmont, SC","Original review: July 8, 2016","IKEA places you on hold for anywhere from 30 minutes to 1.5 hours... the shipping companies they use show up late, don't bring your order in entirety. They keep giving me the runaround on my missing items and placing me on hold, and if they don't accidentally hang up on you they transfer you 2-3 times. All I ask is for my order - instead when they look it up they send me an email that the delivery has been sent to me in full. I have been on hold for a case number for 57 minutes on a Friday afternoon at 530pm. Our company will never shop there again.",1.0
"Deeksha of New York, NY","Original review: July 8, 2016","Did a big move and was essentially furniture-less, so I ordered most of my furniture through Ikea (Brooklyn store). I scheduled delivery and assembly for about a week later. I was given a time window of 9AM-3PM, so I took time off of work to be around for the delivery. I waited and waited and waited. Finally, around 2:30PM, I decided to call the delivery company to see if they were going to be around soon. What ensued was a nightmare in customer service. The delivery company was told that no delivery had been arranged and that my order did not exist. I checked my credit card to make sure my purchase had gone through - I had been billed in full.",1.0
"İDİL of Chapel Hill, NC","Original review: July 5, 2016","I am from Turkey and I am not a native speaker of English. First of all please apologize me if I wrote something not convenient. I have a really big problem with IKEA US. Let me explain my problem. I am gong to move US with my husband from Turkey on 1th of july. For this reason we bought lots of furniture (that cost 2400 USD) on 8th of June. We think that as soon as we reached the US our furniture will come, briefly we trust IKEA. For this reason we do not do any hotel reservation. Because our delivery date was 2nd of July. However on 2nd of July we receive an e-mail from Ikea that inform us about cancellation of our delivery without any reason.",1.0
"Stacey of Castaic, CA","Original review: July 5, 2016","Add me to the hundreds of others who give IKEA one star only because the ConsumerAffairs website doesn't do fractions. I placed an order on IKEA.com last night at 9 pm, after the business was closed. I called IKEA Customer Service (the ultimate oxymoron) this morning at opening time to add another item to the order. First, the voicemail greeting ran me through an endless number of menus, only to tell me IKEA was closed. (They shouldn't have been.)",1.0
"Naghma of Edinburgh, Other","Original review: July 2, 2016","This feedback is after my week long frustration and losing valuable time by taking leaves from work for which I demand to be compensated. As per the records, you can clearly see I had made the purchase almost a week back with an additional payment for delivery on following Tuesday. Upon my urgent business travel to London, I promptly changed the delivery to Wednesday thru Customer care. Surprisingly this was not duly conveyed to the logistics team and I took leave waiting the whole day for delivery to no avail.",1.0
"Michael of Pacific Grove, CA","Original review: June 29, 2016","On Mon, June 13, 2016 at 4:33 PM I order a PAX Wardrobe Unit from IKEA. Pamel ** registered my order on that date. Order #**. Cost = $ 800.53. I was promised the delivery on June 21 between 5 and 9PM. The order was delivered on 6/21/2016 @ 16:06. By North American Logistics: Rueben was the foreman and driver. This was one hour out of the scheduled time line. I checked the delivery manifest and all packages were checked and marked and signed for. ",1.0
"Monica of North York, Other","Original review: June 27, 2016","Actually IKEA was my all time favourite store for home stuff shopping BUT recently something happened that made me so mad at them. I'm NOT impressed by the customer service at all! I bought a bed frame online from IKEA in a promotion and because I just moved to Toronto, I needed to receive my bed exactly first of JUNE, the date I had contract with my landlord to move in there. BUT after buying the bed I found another place furnished with a bed SO I returned my purchase BUT they didn't return whole amount of my money. I called them and they didn't answer me clearly.",1.0
"Moses of Los Angeles, CA","Original review: June 25, 2016","I bought a dresser from IKEA nearly 2 months ago. When assembling the dresser, I noticed that the bottom of the dresser drawers were missing (wasn't too upset by it at the time). After calling customer service and spending nearly 45 minutes on the line, I was told a new set of drawer bottoms would be sent out to me within the next 3-5 business days. On the 5th day, the dresser bottoms came, which, ultimately were too big. So several days after that, I call customer service again to have new parts sent out (mind you at this point I am living out of a suitcase for several weeks). ",1.0
"Steven of Other, Other","Original review: June 24, 2016","I've never disliked Ikea, but after today trying to build a sun bed, I officially hate Ikea. The screws for the drawers are impossible to screw in for an average person, and I am not an average person strength wise. The fact that Ikea believes that regular people can build such a product is incredibly ignorant!!! Ikea should be an average DIY project taking no more than a few hours to complete. Complete ** Ikea. Very disappointed.",1.0
"Laura of Columbus, OH","Original review: June 22, 2016","Worst customer service EVER!!! I spent over 4 hours on hold (over 3 days). I was told that I would be receiving a call back the next day, not once but twice, and no one called back. All I was trying to figure out was when my order would be shipped to me! We ordered a backyard set online because we thought it would be easier to have it delivered. I will never, ever order anything from this company again. If I could give 0 stars I would.",1.0
"Annie of Wilton, CT","Original review: June 21, 2016","We received a headboard from IKEA with damage. It took multiple phone calls with long wait times to get to IKEA before they would finally process a replacement, 4 days after the damage was reported, and that was based on a call I initiated, not by IKEA. At least one person was apologetic and tried to explained that the IKEA call center is completely understaffed. Regardless, the service level was lousy and unacceptable for any reputable company.",1.0
"marcia of West Orange, NJ","Original review: June 21, 2016","I went online 6/20/2016 and ordered two buffet cabinets to be delivered and charged to Amex. I was given a delivery date of 6/25/2016, which is a Saturday. My apt bldg will not accept truck deliveries on Sat or Sun. Tried immediately to inform delivery service of this. Listened to music, etc for a 1/2 hr and was cut off. Tried again and hung on for 15 mins, then hung up. Tried again this morning and waited 25 mins to have a rep tell me I can't change the date until they email me on the 24th. Then I have to try to get them again to attempt a delivery date. NEVER, NEVER AGAIN!!",1.0
"Kiki of Freeport, ME","Original review: June 20, 2016","I was billed for home delivery for two small ottomans, ($400 for ottomans) 350 for shipping. Then when I called to schedule the delivery was told a truck couldn't make it to my house and that if i wanted it delivered to my house it would be $600, or I could meet the truck at a shopping plaza and they would put it in my car and I could lug it into my house. If I cancelled the order the freight charge would not be refunded. When I called to ask for a credit for the shipping I was put on hold for a total of and hour over several calls. Awful customer service. I ended the shipping fee dropped in half but it was torture.",1.0
"Andrew of Santa Barbara, CA","Original review: June 19, 2016","Received an order that took two weeks to fulfill - 5 days of those to come 60 miles. There were missing items in the delivery. It took six calls - all being placed on hold for up to an hour, before I was able to speak with someone to attempt to have the missing items sent to me. I'll wait to see if they arrive. Spoke to a supervisor who gave the party line ""we are working on it"" without any assurance that anything would change. Worst customer service telephone connection ever - except maybe a government office - and they don't care either.",1.0
"Marina  of De Pere, WI","Original review: June 19, 2016","Extremely disorganized organization. I bought kitchen for my little condo/rehab 4 weeks ago already. Still trying to set up an appointment with company which does demolition of old kitchen and installation of the new kitchen. They do not communicate via email only phone. Workers speak very bad English, no customer service. I would never buy anything from IKEA. Honestly, I would rather return all back to the store.",1.0
"Johnna of Easton, MD","Original review: June 18, 2016","Worst customer service ever. Worse packaging ever. I bought their nice looking RASKOG Kitchen Cart online. I opened a family account. The box arrived missing three of the tiny black screws necessary to put it together. ""Oh well,"" says I optimistically, ""I'll just call them and they will send more."" So I set the barely put together cart aside and started calling 1 888 888 4532. I started at 6 PM Friday evening, gave up by 9 pm, then started calling again at 9 am Saturday--today. It is now 2:30 pm and I am still trying to get through. In the meantime, I tried to send an email message about these tiny possibly irreplaceable screws. I have now filled out their form four times. I am good at this. Each of the four times I got the same message. ""Sorry, something happened"" blah blah blah. ",1.0
"michael of Gaithersburg, MD","Original review: June 17, 2016","We have purchased Besta TV stand in Ikea. When back home from the store we realized we were missing 2 shelves - 2x$5=10. There is no way you can directly call to the store. There is no number for the customer support as well. Using google we found one. We called and after 1 hour on the phone, detailed investigation by the manger we were promised to have somebody call us from the store, and mail us the shelves. Obviously we will pay for them. We agreed. (Even the tv stand on the floor in Ikea had the shelves, and the picture did have the shelves as well when we were buying the product. We decided it's not worth it to argue with them any more.)",1.0
"Sarah of Philadelphia, PA","Original review: June 14, 2016",I bought multiple things from IKEA to furnish my new apartment and the end table I bought was missing special screws that are only made by IKEA and came with their own screwdriver. I called multiple times after I got off work and got the answering machine that they were closed even though on the website they said that customer service was open until 12 am. When I was able to get a hold of them I was on hold for over an hour. It's been 5 days and I still have not received my screws I requested.,1.0
"IK of San Jose, CA","Original review: June 11, 2016","After my IKEA experience, I went online and googled ""Why I hate IKEA"". Scores of pages came up. In my opinion, IKEA is a bad business model for the U.S. market. The customer service is anything but. Here is my experience: First and last shopping experience at this wanna-be furniture store. IKEA is ANYTHING but furniture. DIY? Yes. Cheaply made items? Yes. I feel like I've been through the worst customer service nightmare from which I couldn't wake up! Drove from Central Ca. to the closest store in East Palo Alto CA to get a bed and mattress for our grandchild. With no previous IKEA experience, we asked the young salesman if there were ANY other parts not included in the frame package. ""No. You have everything you need"" was his answer. Boom baby! We did it. Out of the store in only 2.5 hours... NOT SO FAST! Purgatory never ends!!!",1.0
"Rafael of St. Charles, MO","Original review: June 10, 2016","My saga started when I realized that they delivered my daughter's bed and one of the boxes was missing. I called them for the first time (15 min in queue) and they said that would contact the delivery company to check if they had the box. Never heard back so I called again (20+ min in queue) and then the lady said she would put me on hold and get an update for the delivery company. Bottom line: They were not able to locate the missing box and the solution was to delivery everything again, and I should once take the missing box and reject the other ones. At this point I was fine with the resolution since issues happen and they had a good resolution for it.",1.0
"Kris of Butler, PA","Original review: June 9, 2016","We bought three kitchens at Ikea. We ordered a countertop for one of them. They came to measure. Said it would be done in 2-3 weeks. Emailed them 5 weeks later and they let me know that they couldn't do the countertop in Quartz because of our stairs. We could do acrylic. They said that they had dropped the ball and didn't get in contact with us as they should have. They wouldn't give me supervisors phone numbers or emails. They would try and have a solution for me on Monday, 4 days later. HORRIBLE.",1.0
"Elisa Vanessa of Quezon City, Other","Original review: June 9, 2016","I love IKEA!!! Unfortunately we do not have them here in Manila but hoping in the future, they'll think of opening a branch here. Whenever I go to Singapore or Hong Kong, I always drop by their store. This is a good place to buy everything that you need at home. The last time I went here, I bought bed sheets, lamps, foldable chairs, storage boxes and kitchen tools like baking dishes, pots and wooden chopping board. There is a variety of things to choose from and some items will be affordable while some expensive. Despite the price, the quality is really great. ",5.0
"Yi of Burlington, VT","Original review: June 9, 2016","I am living in Vermont where there is no Ikea. I ordered a mattress and I realized I am out of town on the delivery day. I looked it up on their website and there is something call ""edit/cancel ordered item"", I provide all the information and they said they will contact me within 24-48 hours. However, after waiting for three days and did not received any follow up email, I checked my order status and Ikea has shipped the mattress. I called their customer service, waiting for 20 mins for someone to pick up the call. The representative who answered the call said that I cannot cancel an item online. I told her there is a request form online. ""You cannot cancel an item online"", that's all she told me. I was like, ""Then why the hell you have a edit/cancel request form online?"" Overall, their customer service is sucks. Have to wait for at least 20 mins for someone to answer the phone.",1.0
"Jae of South Plainfield, NJ","Original review: June 6, 2016","This delivery experience (a disaster, really) happened today, 6/6/2016, with a Home Delivery provided by a third-party company that works for IKEA. I placed my order at IKEA Elizabeth NJ, and found great help with the representative who helped me get my orders together, and even got a next-day delivery scheduled -- but the Home Delivery option is a MESS, and I would advise anyone I care about to NOT USE IT if possible. For the $130 paid (items picking service and home delivery), I could easily have rented a U-Haul cargo van locally at the last minute, asked a family member to help, expended more time and sweat of my own -- and still have money left over with a lot less frustration, anger, and property damage. I would definitely NOT RECOMMEND the Home Delivery option from IKEA after this experience, and I will not buy from IKEA again. Read on for the details.",1.0
"emily of Lake Zurich, IL","Original review: June 5, 2016","You get what you pay for...But not really. Ordered a couch and an armchair online. Deliver date was 5/28 but when the furniture arrived the covers did not. It's 6/5 and if things go well the covers may arrive this week. A delivery time must be scheduled. Unacceptable. Keep in mind, if you order online a brick & mortar store will do nothing to help you. We offered to drive to the store in Schaumburg so we could pick up the covers the same day we received the furniture but received ""we don't do that"" response. Had furniture for over a weeks covered in blankets and may stay that way for another week.",1.0
"Zulina of Toronto, ON","Original review: June 4, 2016","I placed an order to be delivered on Monday. It got cancelled for cc verification reasons. I didn't get a call until 30 minutes before the order was placed. I placed it second time, the order was supposed to be delivered on Thursday. Still not here. I called them this afternoon, IKEA was only able to find my first order which was cancelled not the second. The second order, thankfully, I had the order number, I called again. And finally it will be delivered Monday. I have not receive any reimbursement for anything because IKEA's policy is once the order is complete then they will look at the issues. If you value your time don't order online. Extremely disappointed.",1.0
"Marji of Burbank, CA","Original review: June 3, 2016","Yesterday 06-02-2016, I drove 30 minutes to IKEA Las Vegas, from where I am staying in Las Vegas, for the sole purpose of buying 4 Swedish Meatball Entrees to-go. I decided not to wait in the restaurant line that was 3 aisles wide and resolved to return early the next day. Today, I drove another 30 minutes to purchase these Swedish meatball entrees to-go. I stood in a much shorter line, as the store just opened, and was angry and disappointed after the server said, ""We don't do to-go orders,"" as if it were IKEA Policy. I know that in IKEA Burbank, CA, I have purchased Swedish meatballs to-go on multiple occasions. The server then told me to get take out containers from the cashier. I returned to the server station after getting take out containers from the cashier, only to be told by a man with a chef hat, that again, ""We don't do to-go orders,"" as if it were IKEA Policy again! ",1.0
"Frida of New York City, NY","Original review: June 2, 2016",Your dimensions of this bookcase is a fraud... You only give the dimensions outside not inside example: DEPTH: 37cm. DEPTH INSIDE: 32cm. IS A RIP OFF... Will take action against IKEA for sure.,1.0
"Jessica of Bentonville, AR","Original review: June 2, 2016","I am writing this review to warn other customers. We placed an order on a Friday evening and then canceled the order on that following Monday morning. When we received our refund we noticed that the shipping fees were not refunded. We had a $364 shipping charge because our order was large. When we called customer service they informed us that they do not refund shipping fees even though we cancelled our order within three days. We also asked if we placed another order if we could use that money for shipping fees, but that was not an option. We feel like we were robbed of our money. It would have been decent of Ikea to warn us that they would not refund our shipping fees before we cancelled our order. We will not purchase anything from Ikea again.",1.0
"Dhelal of Sydney, Other","Original review: June 2, 2016","Cheap and nasty products. I bought pressure cooker and second time I use it, the valve is coming down and screw fell inside food!!! When I try to replace or return my money after 2 months, they say it's without guarantee! It's extremely dangerous product. Never, never recommend, it's waste of money.",1.0
"Kris of Pleasanton, CA","Original review: May 31, 2016","I know that MALM chest of drawers have received quite a few safety complaints and about toddlers being trapped and killed. So, rather than buy the tall chest of drawers, I bought the wide one. The quality of the product is very poor. At least one component was damaged as soon as I opened the box. There was no visible damage to the packaging. This is the cheapest quality of furniture I've ever assembled in my 25+ years experience of assembling furniture. I strongly advise customers to stay away from this brand. This brand is cheap and you get what you pay for.",1.0
"Pradeep of Omaha, NE","Original review: May 26, 2016","Received wrong parts. Tried to call. Most of the time it was a recorded message for half hour or more and when it was transferred, no one came on the phone for a good hour. Had to disconnect in disgust. This happened a few times.",1.0
"Rajkumar of West Covina, CA","Original review: May 24, 2016","I ordered several items from IKEA (order no: **) and asked for pickup and home delivery for the next day between 05 PM to 09 PM. The store rep told me the delivery guys will call me before they arrive. The next day the delivery guy called me 04:45 PM and told me he'll be there in 3 mins. I told him I'll be there in 15 mins. The delivery guy was very rude to me and said he's going to be there in 3 mins and will wait for 5 mins and if I'm not there he's just going to leave and put the phone down. Immediately after I got a call from the delivery company, the person asked me where I'm and I told them I'm going to be there in 10 mins, he said that's fine and will let the driver know. I reached my house in 10 mins and saw a note, ""We missed you"". I tried calling back the delivery company and the driver. Nobody responded.",1.0
"Elisabeth of New Gloucester, ME","Original review: May 24, 2016","Abysmal customer service. Drove 3 hours to buy four filing cabinets. When I got home, the edges of one of the sides was unfinished - just raw particle board. I called two weeks ago and explained this in detail to the rep. She said the store would get it out to me in a few days. Seemed rather slow to me but I went with it. A week later I am expecting delivery and instead get a call from their call center - they don't understand what it is I need. Apparently have not even forwarded the order to the store yet. I go over it all again and wait another week. Just called and they still have not even shipped the part yet. Phone rep is trying to get a hold of the store manager to find out why so here I sit on hold. Very clear that they don't even TRY to provide good customer service when one of their products is defective. Clearly don't even have systems and procedures in place to solve problems quickly.",1.0
"Glenn of Henderson, NV","Original review: May 22, 2016","This week I visited the new Las Vegas store 3 times and encountered a number of problems. Mislabeled display. Failure to properly display or list product color options, Very confusing display, specifically under cabinet LED lighting. Took 4 adults and about 10 minutes for us to figure out that a minimum of 3 parts are required. Understaffed returns desk. Six terminals but only 2 employees on duty, so many customers had to wait over 30 minutes. Improperly trained cashiers. I wanted to purchase items to be picked up at Furniture Pickup desk and was told to pay at regular cashier before going to pick up. Cashier refused to take my payment, so I left the store and IKEA lost my sale. P.S. In fairness, I commend the excellent handling of traffic and parking during grand opening week. However, based on the aforementioned issues, I won't be back to the Vegas store anytime soon.",1.0
"Alissa of Chelmsford, MA","Original review: May 20, 2016","My husband and I ordered our kitchen through Ikea and decided to order quartz counter tops which are contracted out to a company called Galaxy Granite & Marble Inc. When purchasing the cabinets, we were told IKEA estimates the square footage and cost of the counter tops and it is adjusted after the Galaxy templates the space where we would either owe more money or be refunded some money. Galaxy came in to template on May 17 and on May 19, emailed me to say we owed more money and would need to call a woman named Caroline from IKEA to order the additional counter top. They could not schedule our installation until the counter top was fully ordered through IKEA and could not order the counter tops themselves until we paid IKEA.",1.0
"Jamie of Brooklyn , NY","Original review: May 13, 2016","IKEA was having a sale while I was in the store on kitchen cabinets, however it was not advertised anywhere nor was it communicated by their employees. Strictly speaking sales, this is very poor marketing for the store as if more customers knew about a sale, I imagine more customers would act faster in purchasing. The sale started in March and again this was not being communicated to customers which was confirmed by one of their employees that I was speaking with while in the store. He indicated that they did not start advertising until April. ",1.0
"Michael of San Diego, CA","Original review: May 6, 2016","First off, I want to say that ever since my first days of college, I’ve been a loyal IKEA customer. From desks to dressers, beds to wastebaskets, you’ve supplied it all. I’ve never had an issue with your products or service (or even restaurant) until now. The day before moving across town, I went into IKEA to purchase a new mattress to use with my Malm frame, still in great condition after almost a decade! After purchasing a mattress at 8:30pm on a Monday evening, I went directly to the delivery section upon checkout, already envisioning a great first night's sleep in my new place. When I arrived, they informed me that not only was I too late to get my mattress scheduled for next-day delivery, but that there was no specific time slot available for sign-up due to the fact my purchase was made after 8pm. ",1.0
"MARY of Miami, FL","Original review: May 5, 2016","I ordered IKEA kitchen cabinets. Paid over $6,000. Quartz countertops, $5.200. Paid 199.00 for the kitchen designer, and contracted to have the Traemand IKEA installers for 2,500. I had the cabinets delivered. Couldn't contact Traemand installation company. After a week of calls, was told that although I have the cabinets the installers are unable to install cabinets for another 7 weeks. They are too busy installing customers from the last IKEA SALE. Do not go to IKEA. NO CUSTOMER SERVICE. No amount of money spent will provide a good return on investment! Miami IKEA.",1.0
"Ingrid of New York, NY","Original review: April 30, 2016","I ordered 2 billy bookshelves online. I live in Manhattan and there is a store in Brooklyn, but obviously this is not a carry home item. I paid over $100 delivery on a $150 order. A week before the delivery date I called them to ask if I could add an item to the order, and they said ""no, the order is already being processed, so it cannot be modified."" Seriously? A week across town? Get your stuff together Ikea, this is NOT customer service.",1.0
"James of Lawndale, CA","Original review: April 30, 2016","IKEA = I Keep Exploding Apart. After putting together a few IKEA living room and bedroom pieces, I later took them apart when I moved. I swear I'll never go through that again. But then most of it I couldn't put back together again. I've since learned that people call this junk ""disposable furniture"". Much of it you can't put together again. It's particle board. The screw going in marshes particle board destroying its grip. It may look put together, but touch it and it's on the floor in pieces. Never again!",1.0
"Brian of Houston, TX","Original review: April 26, 2016",Just frustrated. I was looking for good customer service and found none. It started with the delivery process (North American Logistics)... I got a 4 hour window of delivery but was hoping for a 30 minute to 1 hour courtesy call... Nothing. The driver called when he was at my apartment. I told him where to park and where the elevator was and that I would be there in 12 minutes. He didn't sound happy but said he would wait. This one is my fault. Took me longer than 12 minutes but NA Logistics called and said their driver was waiting. I asked for 10 more minutes... They agreed. 8 minutes later I texted the driver with the elevator location again. 1 minute later I am walking around the area looking for the driver... No truck... No delivery.,1.0
"Rira of Silver Spring, MD","Original review: April 24, 2016","I recently relocated to Atlanta from the West Coast. I work for a reputed media organization, so I do consider myself a mortal with some amounts of grey matter. Anyways, as I was setting up my new apartment, I decided to visit IKEA for my furniture needs. By the way, this was my very first trip to IKEA ever! Going through their couch collection, I came across a sectional that I liked very much. I approached one of the staff ladies on the floor with some questions about it. ""Mam, I was wondering if you could help me with one of the couches?"", ""What is it?"" came the curt reply. It was immediately clear that she wasn't happy that I had approached her. She unwillingly followed me. All my questions were answered in monosyllables and curtly. I think her longest reply was when she explained the complicated process of buying stuff in their store, take pictures of the bar code and then collect them on the ground floor. ",1.0
"Shovan of Houston, TX","Original review: April 21, 2016","Absolute nightmare. Here's a chronology of events that led me to finally cancel the order, but haven't received my refund yet. Spoke to mgmt team 5 times already but no one seems to care. I placed the order in the store on Apr 7th for a bulk order exceeding $1000 and opted for Pick and Delivery service. The order was delivered by NA Logistics and a few items were delivered damaged. I called the helpdesk and was put on hold for 50 mins. I was told that they would redeliver and replace the damaged ones. Every time there was a delivery scheduled, the logistics company gave me real grief with the timing and last minute changes. The first time they kept me waiting the whole day and the delivery that was scheduled for 9-11 AM was delivered at 5:45 PM, leaving me waiting at my home the whole day.",1.0
"Charu of Brussels, Other","Original review: April 21, 2016",I had received vouchers of 338€ and 96€ as promotion offer after buying kitchen from Ikea in March last year. My purse was stolen with those vouchers inside and everything like ID and master card and all; police report is there. When I presented myself to client service with all the proofs of kitchen bills and police report they completely ignored it and didn't even bother to look into system. Not every day they are selling kitchens worth 5000 and I had BON no. with all the proof. This is what I get as being their member since 8 years & how unprofessional as they can't block the vouchers and in spite of having no.; neither can't they make it nominative with my family card.,1.0
"Denis of Dre, Other","Original review: April 17, 2016",Last week I bought an Hemstanas armchair which is new in the collection. I tried it a few times when I was in the showroom and I found it quite comfortable. Once at home I realized that if you sit more than 10 min. the foam in the chair and in the cushion are too thin/soft and I sit against the wood frame. This makes the chair very uncomfortable. I brought it back with my complaint but I only got 70% back of the original amount because the chair was unpacked. To my opinion an uncomfortable lounge chair is a malfunction and I would expect to get a 100% refund.,1.0
